Start Eff Date,End Eff Date,Cost,Cnty,State,City,Zip,Svc,Mat,SCode,Mkt,Qty,Cnt per wk,Equip,Size Code,Yd Size
9/1/2020,7/31/2021,48.2,Fayette,KY,LEXINGTON,40511,PCK,T,NULL,Open,1,2,DMP,YRDS-8,8
1/1/2021,11/30/2021,93.91,Bucks,PA,CHALFONT,18914,PCK,T,NULL,Open,1,1,DMP,YRDS-4,4
1/1/2021,1/31/2021,48.38,Cobb,GA,SMYRNA,30080,PCK,T,NULL,Open,1,1,DMP,YRDS-2,2
3/1/2020,4/30/2021,88.58,Harris,TX,HUMBLE,77346,PCK,T,NULL,Open,1,1,DMP,YRDS-4,4
8/7/2019,9/30/2021,89.88,Polk,FL,LAKELAND,33813,PCK,T,NULL,Open,1,1,DMP,YRDS-4,4
2/19/2021,3/10/2021,146.87,Orange,FL,OCOEE,34761,PCK,T,NULL,Open,1,1,DMP,YRDS-8,8
1/15/2021,2/18/2021,73.44,Orange,FL,OCOEE,34761,PCK,T,NULL,Open,1,1,DMP,YRDS-4,4
7/1/2020,6/30/2021,199.16,Hartford,CT,EAST HARTFORD,6108,PCK,T,NULL,Open,1,1,DMP,YRDS-6,6
8/1/2019,8/31/2021,150,Hartford,CT,WETHERSFIELD,6109,PCK,T,NULL,Open,1,1,DMP,YRDS-4,4
8/1/2019,3/31/2021,260,Fairfield,CT,STAMFORD,6902,PCK,T,NULL,Open,1,1,DMP,YRDS-6,6
8/1/2019,3/31/2021,100,Fairfield,CT,BROOKFIELD,6804,PCK,T,NULL,Open,1,1,DMP,YRDS-2,2
2/1/2021,2/28/2021,706.4,Bronx,NY,BRONX,10473,PCK,T,NULL,Open,1,1,DMP,YRDS-6,6
4/1/2020,1/31/2021,673.4,Bronx,NY,BRONX,10473,PCK,T,NULL,Open,1,1,DMP,YRDS-6,6
7/1/2020,7/31/2021,207.44,Hartford,CT,ENFIELD,6082,PCK,T,NULL,Open,1,1,DMP,YRDS-6,6
8/1/2020,10/31/2021,86.7,Hartford,CT,WETHERSFIELD,6109,PCK,T,NULL,Open,1,1,DMP,YRDS-2,2
7/2/2021,7/8/2021,225,Suffolk,NY,ISLANDIA,11749,PCK,T,NULL,Open,1,1,DMP,YRDS-6,6
8/1/2019,6/30/2021,225,Suffolk,NY,ISLANDIA,11749,PCK,T,NULL,Open,1,1,DMP,YRDS-6,6
8/1/2019,8/31/2021,150,New Haven,CT,ORANGE,6477,PCK,T,NULL,Open,1,1,DMP,YRDS-4,4
8/1/2020,10/31/2021,309.69,Maui,HI,KAHULUI,96732,PCK,T,NULL,Open,1,1,DMP,YRDS-4,4
8/1/2019,8/31/2021,150,Fairfield,CT,BRIDGEPORT,6605,PCK,T,NULL,Open,1,1,DMP,YRDS-4,4
11/1/2020,11/30/2021,107.78,Fulton,GA,ALPHARETTA,30022,PCK,T,NULL,Open,1,1,DMP,YRDS-4,4
7/1/2020,6/30/2021,131.02,Hartford,CT,NEWINGTON,6111,PCK,T,NULL,Open,1,1,DMP,YRDS-4,4
2/1/2021,4/30/2021,118.45,Bronx,NY,BRONX,10468,PCK,T,NULL,Open,1,1,DMP,YRDS-2,2
2/1/2020,1/31/2021,112.92,Bronx,NY,BRONX,10468,PCK,T,NULL,Open,1,1,DMP,YRDS-2,2
7/1/2020,6/30/2021,131.02,Hartford,CT,NEW BRITAIN,6053,PCK,T,NULL,Open,1,1,DMP,YRDS-4,4
9/1/2020,5/31/2021,81.08,Monroe,IN,BLOOMINGTON,47404,PCK,T,NULL,Open,1,1,DMP,YRDS-4,4
8/1/2020,9/30/2021,183.44,Litchfield,CT,NEW MILFORD,6776,PCK,T,NULL,Open,1,1,DMP,YRDS-4,4
5/1/2021,9/30/2021,171.96,Fairfax,VA,MCLEAN,22101,PCK,T,NULL,Open,1,1,DMP,YRDS-4,4
6/1/2020,4/30/2021,162.23,Fairfax,VA,MCLEAN,22101,PCK,T,NULL,Open,1,1,DMP,YRDS-4,4
11/1/2020,11/30/2021,90.13,Clarke,GA,ATHENS,30606,PCK,T,NULL,Open,1,1,DMP,YRDS-4,4
8/1/2019,9/30/2021,145.22,New York,NY,NEW YORK,10027,PCK,T,NULL,Open,1,1,DMP,YRDS-2,2
1/1/2021,6/30/2021,81.54,Charleston,SC,CHARLESTON,29407,PCK,T,NULL,Open,1,1,DMP,YRDS-6,6
4/1/2021,9/1/2021,175.1,Fairfield,CT,STAMFORD,6902,PCK,T,NULL,Open,1,1,DMP,YRDS-4,4
8/1/2019,3/31/2021,170,Fairfield,CT,STAMFORD,6902,PCK,T,NULL,Open,1,1,DMP,YRDS-4,4
2/1/2021,4/27/2021,114.11,Kings,NY,BROOKLYN,11218,PCK,T,NULL,Open,1,1,DMP,YRDS-2,2
4/1/2020,1/31/2021,108.78,Kings,NY,BROOKLYN,11218,PCK,T,NULL,Open,1,1,DMP,YRDS-2,2
4/1/2020,1/31/2021,377.1,Queens,NY,RIDGEWOOD,11385,PCK,T,NULL,Open,1,1,DMP,YRDS-4,4
8/1/2020,10/31/2021,115.3,Hartford,CT,BLOOMFIELD,6002,PCK,T,NULL,Open,1,1,DMP,YRDS-4,4
9/1/2020,8/31/2021,69.36,Wake,NC,RALEIGH,27613,PCK,T,NULL,Open,1,1,DMP,YRDS-2,2
2/1/2021,7/8/2021,143.1,Kings,NY,BROOKLYN,11212,PCK,T,NULL,Open,1,1,DMP,YRDS-2,2
4/1/2020,1/31/2021,136.42,Kings,NY,BROOKLYN,11212,PCK,T,NULL,Open,1,1,DMP,YRDS-2,2
1/27/2020,9/30/2021,178.56,Tolland,CT,TOLLAND,6084,PCK,T,NULL,Open,1,1,DMP,YRDS-4,4
7/1/2021,8/29/2021,282.5,Nassau,NY,ELMONT,11003,PCK,T,NULL,Open,1,1,DMP,YRDS-6,6
11/1/2020,11/30/2021,126.87,Volusia,FL,DELAND,32720,PCK,T,NULL,Open,1,1,DMP,YRDS-4,4
1/5/2021,9/30/2021,225,Westchester,NY,HASTINGS HDSN,10706,PCK,T,NULL,Open,1,1,DMP,YRDS-4,4
1/15/2021,9/30/2021,175,Fairfield,CT,STRATFORD,6614,PCK,T,NULL,Open,1,1,DMP,YRDS-4,4
1/13/2021,8/31/2021,150,New Haven,CT,NORTH HAVEN,6473,PCK,T,NULL,Open,1,1,DMP,YRDS-4,4
4/1/2020,3/21/2021,333,Nassau,NY,NEW HYDE PARK,11040,PCK,T,NULL,Open,1,2,DMP,YRDS-4,4
8/1/2019,5/11/2021,121.58,Union,NJ,LINDEN,7036,PCK,T,NULL,Open,1,2,DMP,YRDS-2,2
4/1/2020,1/31/2021,224.81,Kings,NY,BROOKLYN,11213,PCK,T,NULL,Open,1,2,DMP,YRDS-2,2
10/1/2021,10/1/2021,319.23,Miami-Dade,FL,MIAMI,33186,PCK,T,NULL,Open,1,2,DMP,YRDS-6,6
8/1/2019,9/30/2021,358.52,Miami-Dade,FL,MIAMI,33186,PCK,T,NULL,Open,1,2,DMP,YRDS-6,6
4/1/2020,5/6/2021,311.76,Kings,NY,BROOKLYN,11220,PCK,T,NULL,Open,1,2,DMP,YRDS-2,2
6/1/2020,3/31/2021,215.78,Westchester,NY,MOUNT VERNON,10550,PCK,T,NULL,Open,1,2,DMP,YRDS-2,2
10/1/2019,9/1/2021,207.84,Miami-Dade,FL,HIALEAH,33012,PCK,T,NULL,Open,1,2,DMP,YRDS-4,4
4/1/2020,1/31/2021,233.1,Bronx,NY,BRONX,10467,PCK,T,NULL,Open,1,2,DMP,YRDS-2,2
1/1/2021,3/30/2021,171.23,Nueces,TX,CORPUS CHRISTI,78410,PCK,T,NULL,Open,1,2,DMP,YRDS-6,6
4/1/2020,1/31/2021,179.23,Bronx,NY,BRONX,10456,PCK,T,NULL,Open,1,2,DMP,YRDS-2,2
4/1/2020,1/31/2021,233.1,Bronx,NY,BRONX,10456,PCK,T,NULL,Open,1,2,DMP,YRDS-2,2
4/1/2020,1/31/2021,224.81,Bronx,NY,BRONX,10454,PCK,T,NULL,Open,1,2,DMP,YRDS-2,2
4/1/2020,1/31/2021,233.1,Bronx,NY,BRONX,10453,PCK,T,NULL,Open,1,2,DMP,YRDS-2,2
11/4/2020,6/30/2021,534.67,Nassau,NY,ELMONT,11003,PCK,T,NULL,Open,1,2,DMP,YRDS-6,6
3/11/2021,6/30/2021,293.75,Orange,FL,OCOEE,34761,PCK,T,NULL,Open,1,2,DMP,YRDS-8,8
3/1/2020,1/31/2021,547.62,Greene,MO,SPRINGFIELD,65802,PCK,T,NULL,Open,1,4,DMP,YRDS-8,8
1/1/2021,3/31/2021,586.04,Potter,TX,AMARILLO,79103,PCK,T,NULL,Open,1,6,DMP,YRDS-8,8
3/1/2020,6/30/2021,545.9,Christian,MO,OZARK,65721,PCK,T,NULL,Open,1,5,DMP,YRDS-8,8
1/1/2021,4/30/2021,287.41,Saline,KS,SALINA,67401,PCK,T,NULL,Open,1,3,DMP,YRDS-8,8
5/1/2021,5/20/2021,296.96,Randall,TX,AMARILLO,79121,PCK,T,NULL,Open,1,3,DMP,YRDS-8,8
1/1/2021,3/31/2021,295.57,Randall,TX,AMARILLO,79121,PCK,T,NULL,Open,1,3,DMP,YRDS-8,8
1/1/2021,4/30/2021,287.41,Saline,KS,SALINA,67401,PCK,T,NULL,Open,1,3,DMP,YRDS-8,8
1/1/2021,2/2/2021,249.7,Oklahoma,OK,EDMOND,73013,PCK,T,NULL,Open,1,3,DMP,YRDS-8,8
3/1/2020,5/17/2021,288.4,Jasper,MO,JOPLIN,64801,PCK,T,NULL,Open,1,3,DMP,YRDS-8,8
3/1/2020,8/31/2021,412.74,Jasper,MO,JOPLIN,64801,PCK,T,NULL,Open,1,3,DMP,YRDS-8,8
8/1/2019,4/1/2021,355.56,Camden,GA,SAINT MARYS,31558,PCK,T,NULL,Open,1,2,DMP,YRDS-4,4
5/1/2019,4/1/2021,52,Putnam,OH,CONTINENTAL,45831,PCK,T,NULL,Open,1,1,DMP,YRDS-2,2
8/1/2020,3/31/2021,96.62,Greene,MO,SPRINGFIELD,65807,PCK,T,NULL,Open,1,1,DMP,YRDS-6,6
1/1/2021,7/5/2021,555.19,Washington,OK,BARTLESVILLE,74006,PCK,T,NULL,Open,1,3,DMP,YRDS-6,6
12/1/2019,1/31/2021,64.9,Shelby,IN,SHELBYVILLE,46176,PCK,T,NULL,Open,1,1,DMP,YRDS-6,6
7/13/2020,5/19/2021,320.23,Nueces,TX,CORPUS CHRISTI,78413,PCK,T,NULL,Open,1,3,DMP,YRDS-6,6
10/8/2020,4/30/2021,80.07,Fannin,GA,BLUE RIDGE,30513,PCK,T,NULL,Open,1,1,DMP,YRDS-4,4
11/3/2020,3/31/2021,242.6,San Bernardino,CA,VICTORVILLE,92392,PCK,T,NULL,Open,1,2,DMP,YRDS-4,4
11/1/2020,8/31/2021,115.34,Jefferson,PA,BROOKVILLE,15825,PCK,T,NULL,Open,1,2,DMP,YRDS-2,2
12/1/2020,9/30/2021,76.6,Hamilton,TN,CHATTANOOGA,37416,PCK,T,NULL,Open,1,1,DMP,YRDS-8,8
11/1/2020,8/31/2021,81.6,Middlesex,CT,DEEP RIVER,6417,PCK,T,NULL,Open,1,1,DMP,YRDS-2,2
11/1/2020,5/10/2021,109,Broward,FL,WEST PARK,33023,PCK,T,NULL,Open,1,1,DMP,YRDS-4,4
11/1/2020,5/6/2021,178.31,Carroll,MD,WESTMINSTER,21157,PCK,T,NULL,Open,1,1,DMP,YRDS-6,6
11/1/2020,8/31/2021,57.41,Clarion,PA,Clarion,16214,PCK,T,NULL,Open,1,1,DMP,YRDS-2,2
11/1/2020,8/31/2021,142,Clearfield,PA,Clearfield,16830,PCK,T,NULL,Open,1,1,DMP,YRDS-6,6
4/1/2021,9/30/2021,74.03,Wood,OH,BOWLING GREEN,43402,PCK,T,NULL,Open,1,1,DMP,YRDS-4,4
